sentence1	sentence2	gold_label
말을 탄 사람이 고장난 비행기 위로 뛰어오른다.	한 사람이 경쟁을 위해 말을 훈련시키고 있다.	neutral
말을 탄 사람이 고장난 비행기 위로 뛰어오른다.	한 사람이 식당에서 오믈렛을 주문하고 있다.	contradiction
말을 탄 사람이 고장난 비행기 위로 뛰어오른다.	사람은 야외에서 말을 타고 있다.	entailment
카메라에 웃고 손을 흔드는 아이들	그들은 부모님을 보고 웃고 있다	neutral
카메라에 웃고 손을 흔드는 아이들	아이들이 있다	entailment
카메라에 웃고 손을 흔드는 아이들	아이들이 얼굴을 찌푸리고 있다	contradiction
한 소년이 빨간 다리 한가운데 스케이트보드에 뛰어오르고 있다.	소년은 인도를 따라 스케이트를 탄다.	contradiction
한 소년이 빨간 다리 한가운데 스케이트보드에 뛰어오르고 있다.	그 소년은 스케이트보드를 타는 묘기를 부린다.	entailment
한 소년이 빨간 다리 한가운데 스케이트보드에 뛰어오르고 있다.	소년이 안전 장비를 착용하고 있다.	neutral
나이 든 남자가 커피숍의 작은 테이블에 오렌지 주스를 들고 앉아 있고 밝은 색 셔츠를 입은 직원들은 뒤에서 미소를 짓고 있다.	나이 든 남자가 딸이 퇴근하기를 기다리면서 주스를 마신다.	neutral
나이 든 남자가 커피숍의 작은 테이블에 오렌지 주스를 들고 앉아 있고 밝은 색 셔츠를 입은 직원들은 뒤에서 미소를 짓고 있다.	한 소년이 햄버거를 뒤집는다.	contradiction
나이 든 남자가 커피숍의 작은 테이블에 오렌지 주스를 들고 앉아 있고 밝은 색 셔츠를 입은 직원들은 뒤에서 미소를 짓고 있다.	한 노인이 작은 가게에 앉아 있다.	entailment
금발 여자 둘이 서로 껴안고 있다.	몇몇 여성들은 휴가 때 포옹을 하고 있다.	neutral
금발 여자 둘이 서로 껴안고 있다.	여자들이 자고 있다.	contradiction
금발 여자 둘이 서로 껴안고 있다.	애정을 보이는 여자들이 있다.	entailment
식당에 있는 몇몇 사람들, 그들 중 한 명은 오렌지 주스를 마시고 있다.	사람들이 오믈렛을 먹고 있다.	neutral
식당에 있는 몇몇 사람들, 그들 중 한 명은 오렌지 주스를 마시고 있다.	사람들이 학교 책상에 앉아 있다.	contradiction
식당에 있는 몇몇 사람들, 그들 중 한 명은 오렌지 주스를 마시고 있다.	손님들이 식당에 있다.	entailment
한 나이든 남자가 식당에서 오렌지 주스를 마시고 있다.	남자가 주스를 마시고 있다.	entailment
한 나이든 남자가 식당에서 오렌지 주스를 마시고 있다.	두 여자가 식당에서 와인을 마시고 있다.	contradiction
한 나이든 남자가 식당에서 오렌지 주스를 마시고 있다.	식당에서 한 남자가 식사가 도착하기를 기다리고 있다.	neutral
금발의 남자, 그리고 공공 분수대에서 술을 마시는 갈색 셔츠.	공원의 분수대에서 물을 마시는 금발의 남자.	neutral
금발의 남자, 그리고 공공 분수대에서 술을 마시는 갈색 셔츠.	갈색 셔츠를 입은 금발 남자가 공원의 벤치에서 책을 읽고 있다.	contradiction
금발의 남자, 그리고 공공 분수대에서 술을 마시는 갈색 셔츠.	분수대에서 물을 마시는 금발 남자.	entailment
방금 점심을 먹고 작별인사를 한 두 여자.	친구들은 저녁 식탁을 가득 채우고 서로를 노려본다.	contradiction
방금 점심을 먹고 작별인사를 한 두 여자.	이 사진에는 두 여자가 있습니다.	entailment
방금 점심을 먹고 작별인사를 한 두 여자.	친구들은 20년 만에 처음 만났고, 따라잡는 데 즐거운 시간을 보냈다.	neutral
두 여자가 음식 운반 용기를 들고 포옹을 했다.	두 자매는 붐비는 식당을 가로질러 서로를 보고 포옹을 나누며 둘 다 개 가방을 움켜잡았다.	neutral
두 여자가 음식 운반 용기를 들고 포옹을 했다.	두 그룹의 라이벌 갱단원들이 서로를 배신했다.	contradiction
두 여자가 음식 운반 용기를 들고 포옹을 했다.	두 여자가 서로 껴안는다.	entailment
리틀리그 팀이 오후 경기에서 베이스로 미끄러지는 주자를 잡으려고 한다.	한 팀이 승리를 거두기 위해 득점을 시도하고 있다.	neutral
리틀리그 팀이 오후 경기에서 베이스로 미끄러지는 주자를 잡으려고 한다.	한 팀이 주자를 따돌리려 하고 있다.	entailment
리틀리그 팀이 오후 경기에서 베이스로 미끄러지는 주자를 잡으려고 한다.	한 팀이 토성에서 야구를 하고 있다.	contradiction
이 학교는 다른 문화들이 파티에서 어떻게 다루어지는지에 대한 미국 문화를 보여주기 위해 특별한 행사를 열고 있다.	한 학교가 농구 경기를 주최한다.	contradiction
이 학교는 다른 문화들이 파티에서 어떻게 다루어지는지에 대한 미국 문화를 보여주기 위해 특별한 행사를 열고 있다.	한 고등학교가 행사를 주최하고 있다.	neutral
이 학교는 다른 문화들이 파티에서 어떻게 다루어지는지에 대한 미국 문화를 보여주기 위해 특별한 행사를 열고 있다.	한 학교가 행사를 주최하고 있다.	entailment
고급 패션 아가씨들이 도시의 사람들 옆에서 전차 밖에서 기다리고 있다.	여자들은 어떤 옷을 입든 상관하지 않는다.	contradiction
고급 패션 아가씨들이 도시의 사람들 옆에서 전차 밖에서 기다리고 있다.	여자들이 전차 옆에서 기다리고 있다.	entailment
고급 패션 아가씨들이 도시의 사람들 옆에서 전차 밖에서 기다리고 있다.	여성들은 좋은 패션 감각을 갖는 것을 즐긴다.	neutral
해변에서 즐기는 남자, 여자, 아이.	여름방학 때 해변에서 엄마 아빠와 함께 있는 아이.	neutral
