sentence1	sentence2	gold_label
개념적으로 크림 스키밍은 제품과 지리라는 두 가지 기본 차원을 가지고 있다.	제품과 지리학은 크림 스키밍을 작동시키는 것이다.	neutral
시즌 중에 알고 있는 거 알아? 네 레벨에서 다음 레벨로 잃어버리는 거야 브레이브스가 모팀을 떠올리기로 결정하면 브레이브스가 트리플 A에서 한 남자를 떠올리기로 결정하면 더블 A가 그를 대신하러 올라가고 A 한 명이 그를 대신하러 올라간다.	사람들이 기억하면 다음 수준으로 물건을 잃는다.	entailment
우리 번호 중 하나가 당신의 지시를 세밀하게 수행할 것이다.	우리 팀의 일원이 당신의 명령을 엄청나게 정확하게 실행할 것이다.	entailment
어떻게 아세요? 이 모든 것이 다시 그들의 정보다.	이 정보는 그들의 것이다.	entailment
그래, 만약 네가 테니스화 몇 개를 사러 간다면, 나는 왜 그들이 100달러대에서 오르고 있다는 것을 이제 알 수 있을 거야.	테니스화의 가격은 다양하다.	neutral
내 워커가 고장나서 지금 화가 났어. 스테레오를 정말 크게 틀어야 해.	나는 내 워크맨이 고장나서 화가 나서 이제 스테레오를 정말 크게 틀어야 한다.	entailment
그러나 apse 위에서 살아남은 기독교 모자이크 몇 개는 아기 예수와 함께 성모인데, 오른쪽에는 대천사 가브리엘이 있다(그의 동료 마이클은 그의 날개에서 깃털 몇 개를 구하기 위해 사라졌다).	기독교 모자이크의 대부분은 이슬람교도들에 의해 파괴되었다.	neutral
(슬레이트에 대한 읽기는 잭슨의 연구 결과를 받아들인다.)	슬레이트는 잭슨의 발견에 대해 의견을 가지고 있었다.	entailment
게이들과 레즈비언들.	이성애자.	contradiction
Rue des Francs-Bourgeois의 끝에는 많은 사람들이 돌과 붉은 벽돌 외관을 가진 도시에서 가장 잘생긴 주거 광장인 Place des Vosges로 간주하는 것이 있습니다.	Place des Vosges는 전적으로 회색 대리석으로 만들어졌다.	contradiction
오두막집 문을 부수고 땅바닥에 쓰러졌어	나는 문을 박차고 들어가 쓰러졌다.	entailment
어른과 아이들을 위한 재미.	외동아이들을 위한 재미.	contradiction
그들이 물어본 질문들이 흥미롭거나 합법적이지 않았다는 것은 아니다(대부분은 이미 묻고 대답한 범주에 속했지만).	이 주제에 대해 상담한 포커스 그룹에 따르면 모든 질문이 흥미로웠다.	neutral
테베는 제12왕조까지 권력을 잡았는데, 그 때 첫 번째 왕인 기원전 1980년 사이에 통치했던 아메네메트 1세가 멤피스 근처에 수도를 세웠다.	멤피스 근처의 수도는 주민들이 다음 수도를 위해 그것을 버리기 전까지 불과 반세기 동안 지속되었다.	neutral
당신의 걱정에 대해 말하려는 것은 아니지만, 만약 내가 당신이라면, 나는 이 1달러의 단기적인 금리에 대한 암시에 대해 더 걱정할지도 모른다.	나는 단기적인 비율의 영향보다 당신의 문제에 더 관심이 있다.	contradiction
데이터 합성의 문제입니다.	데이터 합성의 문제입니다.	entailment
텔레비전에서도 보실 수 있습니다	여러분은 텔레비전에서도 그것을 볼 수 있습니다.	entailment
브렌나와 나는 둘 다 그와 싸웠고 그는 우리를 거의 데려갈 뻔 했다.	브렌나도 나도 그와 싸워본 적이 없다.	contradiction
이 분석은 PM과 만성 기관지염을 연결하는 C-R 기능을 개발하기 위해 이 두 연구의 추정치를 수집했다.	그 분석은 PM과 기관지염 사이에 연관성이 없다는 것을 증명한다.	contradiction
그는 돌아서서 브렌나에게 미소를 지었다.	그는 어머니와 함께 천천히 그의 뒤를 걷고 있는 브렌나에게 미소를 지었다.	neutral
우리는 지난 5년 이내에 기관들이 일반적으로 시행한 관행을 확인하고자 했다.	우리는 지난 5년 동안 기관들이 흔히 사용하는 관행을 확인하고 싶다.	entailment
다른 남자들이 뒤척였다.	다른 남자들은 이리저리 뒤엉켰다.	entailment
주정부는 국립 공원과 황무지 지역의 자연 조건으로 돌아 가기 위한 의회의 의무적인 목표에 대한 주 구현 계획에서 합리적인 진전을 보여야 합니다.	개선이 있을 필요는 없다.	contradiction
아주 흥미로웠어요	그것은 매우 흥미로웠다.	entailment
그는 천천히 2층으로 돌아가기 시작했다.	그는 천천히 침대로 돌아왔다.	entailment
그리고 그것은 꽤 약간이라고 생각한다. 그리고 나머지 파이는 다른 곳으로 간다. 하지만 우리는 꽤 잘 사는 주의 특정 지역에 있기 때문에 지방세에 관한 한 많은 것을 되찾는 것과 같다.	나는 지방세가 어디로 가는지 정확히 모른다.	neutral
그들은 17세기 초에 공식적인 재인구 계획의 일환으로 이곳에 온 그들의 말로르칸 조상들에 의해 오늘날의 마을 사람들에게 전해지는 비밀 요리법으로 만들어졌다.	말로르칸 조상들로부터 전해진 요리법은 모두에게 알려져 있다.	contradiction
그래, 넌 학생이 맞아	넌 기계공 학생이지?	neutral
그들이 음, 아동학대와 아동학대를 막는 것에 대해 뉴욕에서 대규모 캠페인을 시작해야 한다는 것을 정말 들었어. 그리고 그것은 마치 전국적인 큰 캠페인처럼 시작되어야 하는 것 같아. 그리고 너도 알다시피, 그것이 시작되고 정말로 내가 모르는 것을 할 수 있기를 바래.	아무도 아동학대 캠페인을 조직하지 않는 것은 유감스러운 일이다.	contradiction
우편 서비스는 배달 빈도를 줄이는 것이었다.	우편 서비스는 덜 자주 배달될 수 있다.	entailment
그리고 경제의 또 다른 변화에서, 양고기는 부분적으로 그곳에서 이용할 수 있는 더 풍부하고 영양가 있는 방목지 때문에 저지대 농장에서 더 비용 효율적으로 길러질 수 있다는 것이 발견되었고, 그 결과 레이크랜드 농장은 수익성이 떨어졌다.	경제의 또 다른 변화는 더 영양가 있는 것으로 밝혀졌다.	entailment
이 규칙에는 EPA가 침전물을 제어하는 데 효과적인 세제 첨가제가 사용되고 배출 제어 목표가 실현되는지 결정할 수 있는 정보 수집 요구 사항이 포함되어 있습니다.	이 규칙에는 EPA가 배출 제어 목표를 실현하는 데 도움이 되는 데이터 수집 요구 사항이 있습니다.	entailment
거의 모든 언덕은 북동쪽에 무어 요새가 있다; 4개 이상의 파괴된 요새가 항구 입구를 지키고 있다; 그리고 아탈라야 성과 갈레라스 성은 여전히 잘 수리되어 있어, 스페인 군대에 매우 중요한 해상 무기고를 보호하고 있다.	아탈라야와 갈레라스에는 성이 없다.	contradiction
저 안에 있었나요?	저 안에 있어야 했나요?	neutral
펠리시아의 여정은 그녀의 태어나지 않은 아이의 아버지를 찾기 위한 희망적인 탐구로 영국으로 바다를 건너는 어린 아일랜드 소녀 펠리시아의 눈 뒤에서 일어난다; 그리고 그녀의 젊은 남자가 그녀에게 캐디쉬하게 전표를 주었다는 것이 분명해지면 나태함에 부계 관심을 갖는 뚱뚱하고 중년의 음식점 매니저 히디치.	여자는 그 남자가 멀리 있는 한 어디에 있든 상관하지 않았다.	contradiction
지하실에는 볼테르와 루소, 휴고와 졸라, 암살당한 사회주의 지도자 장 자우리스, 시각장애인을 위한 알파벳의 발명가인 루이 점자가 매장되어 있다.	볼테르와 루소, 휴고와 졸라, 암살당한 사회주의 지도자 장 자우리스, 루이 점자의 유해는 모두 지하실에 묻혀 있다.	entailment
음, 오, 이제 그의 이름을 잊어버릴거야 어 더크슨이라는 커플이 있어.	그들의 이름이 기억나지 않는다	entailment
나는 안도의 한숨을 내쉬며 푸아로를 양손으로 붙잡고 방으로 끌고 갔다.	푸아로는 이제 돌아왔고 나는 그가 내가 지금 내 조사라고 생각하는 것을 대신하게 되어 유감이었다.	contradiction
아스완이라는 단어는 실제로 고대 이집트에서 무역이나 시장을 의미하며, 가장 뛰어난 활동을 의미한다.	아스완의 의미는 시간이 흐르면서 변하지 않았다.	contradiction
시장이 견딜 수 있는 것은 무엇이고	그 시장은 그 어떤 것도 견딜 수 없다.	contradiction
그리고 일본의 새로운 통치자들이 얼마나 빨리 따라잡고 있는지를 보여주기 위해, 19세기 군함 외교의 웅장한 방식으로 한국과 중국을 상대로 두 번의 징벌적 탐험이 시작되었다.	일본의 새로운 통치자들이 빠르게 따라잡고 있었다.	entailment
2016년 신탁기금이 현금 적자를 내기 시작하면 정부는 비사회보장 흑자를 줄이거나, 국민으로부터 차입하거나, 다른 세금을 올리거나, 다른 정부 지출을 줄임으로써 사회보장제도의 현금 적자를 충당하기 위해 현금을 마련해야 한다.	대중은 일반적으로 정부가 사회 보장에 자금을 대기 위해 다른 분야에서의 지출을 줄이는 것을 선호할 것이다.	neutral
이 조직들은 그들의 과정과 그 과정이 어떻게 임무 수행에 기여하거나 방해하는지 이해하기 위해 시간과 노력을 투자한다.	이러한 조직들은 일부 프로세스가 어떻게 기여하거나 해프에 기여할 수 있는지 이해하기 위해 많은 시간을 투자한다.	entailment
그리고 너와 얘기하는 것도 좋아.	나는 매일 너와 이야기한다.	neutral
당신은 사실에 접근할 수 있다.	그 사실들은 당신에게 접근할 수 있다.	entailment
